0.5,1304
0.55,4220
0.6,4388
0.65,2116
0.7,452
0.75,844
0.8,1092
0.85,1732
0.9,3392
0.95,4696
1.0,5268
1.05,3588
1.1,1352
1.15,1572
1.2,1548
1.25,1448
1.3,1276
1.35,1256
1.4,1300
1.45,880
1.5,1028
1.55,1748
1.6,984
1.65,1612
1.7,1488
1.75,912
1.8,1344
1.85,1216
1.9,1956
1.95,1260
2.0,1448
2.05,1232
2.1,1328
2.15,2012
2.2,1108
2.25,1964
2.3,1080
2.35,912
2.4,2804
2.45,1288
2.5,2000
2.55,1632
2.6,1228
2.65,1544
2.7,1392
2.75,840
2.8,1124
2.85,1040
2.9,1876
2.95,940
3.0,1024
3.05,1436
